State,Population,Region
AL,4799277,East South Central
AK,720316,Pacific
AZ,6479703,Mountain
AR,2933369,West South Central
CA,37659181,Pacific
CO,5119329,Mountain
CT,3583561,New England
DE,908446,South Atlantic
DC,619371,South Atlantic
FL,19091156,South Atlantic
GA,9810417,South Atlantic
HI,1376298,Pacific
ID,1583364,Mountain
IL,12848554,East North Central
IN,6514861,East North Central
IA,3062553,West North Central
KS,2868107,West North Central
KY,4361333,East South Central
LA,4567968,West South Central
ME,1328320,New England
MD,5834299,South Atlantic
MA,6605058,New England
MI,9886095,East North Central
MN,5347740,West North Central
MS,2976872,East South Central
MO,6007182,West North Central
MT,998554,Mountain
NE,1841625,West North Central
NV,2730066,Mountain
NH,1319171,New England
NJ,8832406,Mid-Atlantic
NM,2069706,Mountain
NY,19487053,Mid-Atlantic
NC,9651380,South Atlantic
ND,689781,West North Central
OH,11549590,East North Central
OK,3785742,West South Central
OR,3868721,Pacific
PA,12731381,Mid-Atlantic
RI,1051695,New England
SC,4679602,South Atlantic
SD,825198,West North Central
TN,6402387,East South Central
TX,25639373,West South Central
UT,2813673,Mountain
VT,625904,New England
VA,8100653,South Atlantic
WA,6819579,Pacific
WV,1853619,South Atlantic
WI,5706871,East North Central
WY,570134,Mountain
